Store Number,,Customer Facing Store Name,Address ,City,State Province,Postal Code,Phone Number,Thursday Store Hours,Thursday Store Hours ,Friday Store Hours,Friday Store Hours 
1,2700,HAYWOOD MALL,700 Haywood Road,Greenville,SC,29607-2781,(864)288-2383,#N/A,CLOSED,#N/A,12am-10pm
2,2703,WOODFIELD MALL,L-112 Woodfield Mall,Schaumburg,IL,60173-5846,(847)995-1247,#N/A,CLOSED,#N/A,12am-10pm
3,2704,NORTHPOINT MALL,2124 Northpoint Mall,Alpharetta,GA,30022-3086,(678)762-7881,#N/A,CLOSED,#N/A,12am-10pm
4,2705,SOUTH SHORE PLAZA,250 Granite Street,Braintree,MA,02184-2812,(781)356-0701,#N/A,CLOSED,#N/A,12:30am-10pm
5,2706,PARK PLAZA MALL,6000 West Markham Street,Little Rock,AR,72205-3183,(501)614-9535,#N/A,CLOSED,#N/A,12am-9pm 
6,2707,CHARLESTON T.C.,2091 Charleston T.C.,Charleston,WV,25389-0006,(304)345-2693,#N/A,CLOSED,#N/A,10am-9pm
7,2708,EXTON SQUARE MALL,354 Exton Square Parkway,Exton,PA,19341-2497,(610)363-5854,#N/A,CLOSED,#N/A,5am-10pm
8,2709,SOUTH HILLS VILLAGE,301 South Hills Village,Bethel Park,PA,15241-1424,(412)833-4685,#N/A,CLOSED,#N/A,12am-10pm
9,2710,GARDEN STATE PLAZA,1 Garden State Plaza,Paramus,NJ,07652-1037,(201)843-3638,#N/A,CLOSED,#N/A,7am-11pm
10,2711,WESTFARMS MALL,55 Westfarms Mall,Farmington,CT,06032-2631,(860)561-0679,#N/A,CLOSED,#N/A,12am-10pm
11,2713,ROCKAWAY TOWNSQUARE,301 Mount Hope Avenue,Rockaway,NJ,07866-1699,(973)366-2393,#N/A,CLOSED,#N/A,12am-11pm
12,2714,CAMBRIDGESIDE GALLERIA,100 CambridgeSide Place,Cambridge,MA,02141-2220,(617)621-1728,#N/A,CLOSED,#N/A,12:30am-10pm
13,2715,BOULEVARD MALL,1277 Niagara Falls Blvd.,Amherst,NY,14226-1104,(716)835-4213,#N/A,CLOSED,#N/A,12am-10pm
14,2716,CHERRY HILL MALL,2000 Route 38,Cherry Hill,NJ,08002-2183,(856)317-7190,#N/A,CLOSED,#N/A,12am-10pm
15,2717,MILL CREEK MALL,130 Mill Creek Mall,Erie,PA,16565-0101,(814)866-2304,#N/A,CLOSED,#N/A,12am-10pm
16,2718,FOX RIVER MALL,4301 W. Wisconsin Avenue,Appleton,WI,54913-8605,(920)733-2614,#N/A,CLOSED,#N/A,12am-9pm
17,2719,MALL AT JOHNSON CITY,2011 North Roan Street,Johnson City,TN,37601-3130,(423)262-0291,#N/A,CLOSED,#N/A,12am-9pm
18,2720,OGLETHORPE MALL,7804 Abercorn Street,Savannah,GA,31406-3502,(912)303-8042,#N/A,CLOSED,#N/A,6am-10pm
19,2721,CRABTREE VALLEY MALL,4325 Glenwood Avenue,Raleigh,NC,27612-4504,(919)789-0421,#N/A,CLOSED,#N/A,12am-10pm
20,2722,MALL OF AMERICA,200 East Broadway,Bloomington,MN,55425-5512,(952)854-4178,#N/A,CLOSED,#N/A,12am-10pm
21,2723,OAK PARK MALL,11269 West 95th Street,Overland Park,KS,66214-1828,(913)888-4457,#N/A,CLOSED,#N/A,12a-9pm
22,2724,CLACKAMAS TOWN CENTER,12000 SE 82 Avenue,Portland,OR,97086-7751,(503)653-9682,#N/A,CLOSED,#N/A,12am-9pm
23,2725,ANNAPOLIS MALL,1320 Annapolis Mall,Annapolis,MD,21401-3080,(410)266-3616,#N/A,CLOSED,#N/A,5am-10pm
24,2726,ST. JOHN'S TOWN CENTER,4790 River City Drive,Jacksonville,FL,32246-7413,(904)641-3341,#N/A,CLOSED,#N/A,12am-9pm
25,2727,AUGUSTA MALL,3450 Wrightsboro Road,Augusta,GA,30909-2597,(706)733-6742,#N/A,CLOSED,#N/A,12am-10pm
26,2728,TWELVE OAKS MALL,27662 Novi Road,Novi,MI,48377-3420,(248)449-5443,#N/A,CLOSED,#N/A,12am-9pm
27,2729,PHEASANT LANE,310 Daniel Webster Hwy S,Nashua,NH,03060-5730,(603)888-1909,#N/A,CLOSED,#N/A,12am-10pm
28,2730,MALL OF GEORGIA,3333 Buford Drive,Buford,GA,30519-4913,(770)271-9712,#N/A,CLOSED,#N/A,12am-10pm
29,2731,CAROLINA PLACE,11025 Carolina Place Pkwy,Pineville,NC,28134-7518,(704)543-0157,#N/A,CLOSED,#N/A,12am-10pm
30,2732,ARROWHEAD TOWN CENTER,7700 W. Arrowhead T.C.,Glendale,AZ,85308-8646,(623)334-5039,#N/A,10pm-12am,#N/A,12am-10pm
31,2734,TOWNE EAST SQUARE,7700 East Kellogg Dr.,Wichita,KS,67207-1772,(316)686-2884,#N/A,CLOSED,#N/A,12am-9pm 
32,2735,ANCHORAGE 5TH AVENUE MALL,320 W. 5th Avenue,Anchorage,AK,99501-2351,(907)277-6500,#N/A,CLOSED,#N/A,4am-9pm
33,2736,COOL SPRINGS GALLERIA,1800 Galleria Blvd,Franklin,TN,37067-1605,(615)771-1947,#N/A,CLOSED,#N/A,12am-9pm
34,2737,ASHEVILLE MALL,3 South Tunnel Road,Asheville,NC,28805-2238,(828)296-7515,#N/A,CLOSED,#N/A,12am-10pm
35,2738,ROCKINGHAM PARK,99 Rockingham Park Blvd,Salem,NH,03079-2942,(603)893-3837,#N/A,CLOSED,#N/A,12am-10pm
36,2739,EMPIRE MALL,4001 West 41st St,Sioux Falls,SD,57106-6523,(605)361-9511,#N/A,CLOSED,#N/A,12am-9pm
37,2740,FAYETTE MALL,3615 Nicholasville Road,Lexington,KY,40503-4409,(859)245-5664,#N/A,CLOSED,#N/A,12am-10pm
38,2742,GALLERIA AT ROSEVILLE,1151 Galleria Blvd,Roseville,CA,95678-1937,(916)784-1422,#N/A,CLOSED,#N/A,12am-10pm
39,2743,MILLER HILL MALL,1600 Miller Trunk Highway,Duluth,MN,55811-5638,(218)722-0203,#N/A,CLOSED,#N/A,12am-10pm
40,2745,HOLYOKE AT INGLESIDE,50 Holyoke Street,Holyoke,MA,01040-2759,(413)533-4708,#N/A,CLOSED,#N/A,12:30am-10pm
41,2746,CAROUSEL CENTER,9505 Destiny USA,Syracuse,NY,13290-9505,(315)478-1306,#N/A,CLOSED,#N/A,12am-10pm
42,2747,WALDEN GALLERIA,One Walden Galleria,Buffalo,NY,14225-5114,(716)681-7385,#N/A,CLOSED,#N/A,12am-11pm
43,2748,POUGHKEEPSIE GALLERIA,2001 South Road,Poughkeepsie,NY,12601-5901,(845)298-0436,#N/A,CLOSED,#N/A,12am-10pm
44,2749,SALMON RUN MALL,21182 Salmon Run Mall LpW,Watertown,NY,13601-2244,(315)788-1485,#N/A,CLOSED,#N/A,12am-10pm
45,2750,PATRICK HENRY MALL,12300 Jefferson Avenue,Newport News,VA,23602-6900,(757)249-0978,#N/A,CLOSED,#N/A,12am-10pm
46,2751,SOUTHCENTER,2656 Southcenter Mall,Seattle,WA,98188-2843,(206)248-4311,#N/A,11pm-12am,#N/A,12am-10pm
47,2752,FREEHOLD RACEWAY,3710 Route 9,Freehold,NJ,07728-4801,(732)294-7841,#N/A,CLOSED,#N/A,12am-11pm
48,2753,DANBURY FAIR,7 Backus Avenue,Danbury,CT,06810-7423,(203)797-8413,#N/A,CLOSED,#N/A,12am-11pm
49,2754,SMITH HAVEN MALL,512 Smith Haven Mall,Lake Grove,NY,11755-1206,(631)265-0575,#N/A,CLOSED,#N/A,12am-10pm
50,2755,ROOSEVELT FIELD,630 Old Country Road,Garden City,NY,11530-3402,(516)248-0094,#N/A,CLOSED,#N/A,12am-10pm
51,2756,SOUTH SIDE WORKS,540 South 27th Street,Pittsburgh,PA,15203-2370,(412)431-0706,#N/A,CLOSED,#N/A,6am-10pm
52,2757,CRYSTAL MALL,850 Hartford Tpke,Waterford,CT,06385-4238,(860)447-9246,#N/A,CLOSED,#N/A,12am-9pm
53,2758,COLUMBIA MALL,2300 Bernadette Drive,Columbia,MO,65203-4607,(573)445-0129,#N/A,CLOSED,#N/A,12am-9pm
54,2759,OAK VIEW MALL,3001 South 144th Street,Omaha,NE,68144-5221,(402)334-4110,#N/A,CLOSED,#N/A,12am-9pm
55,2763,HUNTINGTON MALL,500 Mall Road,Barboursville,WV,25504-1846,(304)736-1164,#N/A,CLOSED,#N/A,12am-10pm
56,2764,FRANKLIN PARK MALL,5001 Monroe Street,Toledo,OH,43623-3641,(419)475-6285,#N/A,CLOSED,#N/A,12am-10pm
57,2765,GREENWOOD PARK MALL,1251 US 31 North,Greenwood,IN,46142-4506,(317)881-3275,#N/A,CLOSED,#N/A,12am-9pm
58,2766,UNIVERSITY PARK,6501 Grape Rd,Mishawaka,IN,46545-1007,(574)243-1969,#N/A,CLOSED,#N/A,12am-10pm
59,2767,EASTVIEW MALL,741 Eastview Mall,Victor,NY,14564-1032,(585)425-0394,#N/A,CLOSED,#N/A,12am-10pm
60,2768,STATEN ISLAND MALL,2655 Richmond Avenue,Staten Island,NY,10314-5853,(718)494-2678,#N/A,CLOSED,#N/A,12am-10pm
61,2770,LEHIGH VALLEY MALL,233 Lehigh Valley Mall,Whitehall,PA,18052-5719,(610)264-0501,#N/A,CLOSED,#N/A,12am-9pm
62,2771,BRANDON WESTFIELD,432 Brandon Town Center,Brandon,FL,33511-4768,(813)654-9187,CLOSED,CLOSED,6am-9pm,12am-9pm
63,2772,JORDON CREEK TOWN CENTER,101 Jordan Creek Parkway,West Des Moines,IA,50266-8117,(515)225-1285,CLOSED,CLOSED,6am-10pm,12am-10pm
64,2773,MALL OF LOUISIANA,6401 Blue Bonnet Blvd,Baton Rouge,LA,70836-2110,(225)766-3087,CLOSED,CLOSED,12am-9pm,12am-10pm
65,2774,WILLOWBROOK MALL,1408 Willowbrook Mall,Houston,TX,77070-5797,(281)955-1188,#N/A,CLOSED,#N/A,12am-10pm
66,2775,BAY PARK SQUARE,683 Bay Park Square,Green Bay,WI,54304-5101,(920)405-0049,CLOSED,CLOSED,8am-9pm,12am-10pm
67,2776,CROSSROADS CENTER,4101 West Division St,St Cloud,MN,56301-6600,(320)252-2436,CLOSED,CLOSED,6am-10pm,12am-10pm
68,2777,FOXVALLEY WESTFIELD,2432 Fox Valley Center,Aurora,IL,60504-4140,(630)978-3802,CLOSED,CLOSED,12am-9pm,12am-10pm
69,2778,FLORIDA MALL,8001 S. Orange Blossom Tr,Orlando,FL,32809-7655,(407)816-3683,CLOSED,CLOSED,12am-10pm,12am-10pm
70,2779,LAKELINE MALL,11200 Lakeline Mall Dr,Cedar Park,TX,78613-1501,(512)249-7519,CLOSED,CLOSED,12am-10pm,12am-10pm
71,2780,GENESEE VALLEY,3367 S. Linden Road,Flint,MI,48507-3007,(810)733-5636,CLOSED,CLOSED,12am-10pm,12am-9pm
72,2781,SOUTH TOWN CENTER,10450 South State Street,Sandy,UT,84070-4164,(801)576-0984,CLOSED,CLOSED,12am-10pm,12am-9pm
73,2783,SOUTH PLAINS MALL,6002 Slide Road,Lubbock,TX,79414-4310,(806)797-2463,CLOSED,11pm-12am,12am-10pm,12am-9pm
74,2784,THE SHOPS AT LACANTERA,15900 LaCantera Parkway,San Antonio,TX,78256-2467,(210)558-7167,CLOSED,CLOSED,12am-9pm,12am-10pm
75,2785,PLAZA AT KING OF PRUSSIA,160 N Gulph Road,King of Prussia,PA,19406-2937,(610)337-2307,CLOSED,CLOSED,12am-10pm,12am-10pm
76,2786,MALL AT ROBINSON,2260 Robinson Center Dr,Pittsburgh,PA,15205-4847,(412)787-3486,CLOSED,CLOSED,12am-10pm,12am-9pm
77,2787,FOX RUN MALL,50 Fox Run Road,Newington,NH,03801-2851,(603)431-2347,CLOSED,CLOSED,12am-10pm,12am-10pm
78,2789,MONTGOMERY MALL,110 Montgomery Mall,North Wales,PA,19454-3903,(215)361-8217,CLOSED,CLOSED,12am-9pm,12am-10pm
79,2790,BANGOR MALL,663 Stillwater Ave.,Bangor,ME,04401-3642,(207)941-0847,CLOSED,CLOSED,4am-10pm,12am-9pm
80,2791,SANGERTOWN SQUARE,Rts 5 & 5A,New Hartford,NY,13413-1518,(315)724-7520,CLOSED,CLOSED,12am-10pm,12am-10pm
81,2792,GALLERIA AT CRYSTAL RUN,1 North Galleria Drive,Middletown,NY,10941-3032,(845)692-6476,#N/A,CLOSED,#N/A,12am-10pm
82,2793,BELDEN VILLAGE,4197 Belden Village Mall,Canton,OH,44718-2506,(330)494-0020,#N/A,CLOSED,#N/A,12am-10pm
83,2794,MALL ST. MATTHEWS,5000 Shelbyville Road,Louisville,KY,40207-3342,502-895-7619,CLOSED,CLOSED,12am-10pm,12am-9pm
84,2795,PASEO NUEVO,301 Paseo Nuevo,Santa Barbara,CA,93101-3373,(805)884-4769,#N/A,CLOSED,#N/A,5am-9pm
85,2796,DIMOND CENTER,800 E. Dimond Blvd.,Anchorage,AK,99515-2052,(907)349-3425,#N/A,CLOSED,#N/A,12am-9pm
86,2799,WEST TOWN MALL,7600 Kingstown Pike,Knoxville,TN,37919-5600,(865)693-8670,CLOSED,CLOSED,12am-9pm,12am-10pm
87,2800,FAIR OAKS MALL,11741L Fair Oaks Mall,Fairfax,VA,22033-3307,(703)591-1780,9am-9pm,CLOSED,5am-12am,12am-10pm
88,2801,LOS CERRITOS CENTER,160 Los Cerritos Center,Cerritos,CA,90703-5421,(562)924-7541,CLOSED,CLOSED,9am-11pm,12am-10pm
89,2802,GROVE CITY - PRIME OUTLETS,Intrsctn I79 & Rt 208,Grove City,PA,16127-5001,(724)748-3877,CLOSED,CLOSED,12am-9pm,12am-10pm
90,2803,HANES MALL,3320 Silas Creek Parkway,Winston-Salem,NC,27103-3009,(336)768-6784,10pm-12am,CLOSED,12am-10pm,12am-10pm
91,2804,WOLFCHASE GALLERIA,2760 N. Germantown Pky,Memphis,TN,38133-8155,(901)377-7897,CLOSED,CLOSED,12am-9pm,12am-10pm
92,2805,OPRY MILLS,460 Opry Mills Drive,Nashville,TN,37214-2440,615-678-0810,CLOSED,CLOSED,12am-9pm,12am-10pm
93,2806,CONCORD MILLS,8111 Concord Mills Blvd,Concord,NC,28027-4402,(704)979-1045,CLOSED,CLOSED,7am-10pm,12am-10pm
94,2807,SOUTHLAKE MALL,2264 Southlake Mall,Merrillville,IN,46410-6441,(219)769-6302,CLOSED,CLOSED,3am-10pm,12am-10pm
95,2808,THE OAKS,180 West Hillcrest Dr.,Thousand Oaks,CA,91360-4209,805-371-4058,CLOSED,CLOSED,12am-9pm,12am-9pm
96,2810,CHESTERFIELD MALL,63 Chesterfield Mall,Chesterfield,MO,63017-4807,(636)730-3123,CLOSED,CLOSED,12am-10pm,12a-10p
97,2811,INDEPENDENCE CENTER,1152 Independence Ctr Dr,Independence,MO,64057-1733,(816)795-8056,CLOSED,CLOSED,10am-10pm,12am-9pm 
98,2812,ROSEDALE CENTER,2002 Rosedale Center,Roseville,MN,55113-2092,(651)636-0470,CLOSED,CLOSED,12am-9pm,12am-9pm
99,2813,ST. CLAIR SQUARE,107 St. Clair Sq,Fairview Heights,IL,62208-2618,(618)622-2139,#N/A,CLOSED,#N/A,12am-10pm
100,2814,WOODLAND HILLS,7021 S Memorial Dr,Tulsa,OK,74133-2049,(918)250-0010,#N/A,CLOSED,#N/A,12am-10pm
101,2815,BURNSVILLE CENTER,1088 Burnsville Center,Burnsville,MN,55306-4408,(952)892-0775,#N/A,CLOSED,#N/A,5am-10pm
102,2816,RIVERTOWN CROSSINGS,3700 Rivertown Parkway,Grandville,MI,49418-3086,(616)531-2504,CLOSED,CLOSED,12am-10pm,12am-10pm
103,2817,WHITE OAKS MALL,2501 Wabash Ave,Springfield,IL,62704-4276,(217)726-6437,CLOSED,CLOSED,12am-9pm,12am-9pm
104,2818,NORTHWOODS MALL,2200 W. War Memorial Driv,Peoria,IL,61613-1099,(309)681-9436,CLOSED,CLOSED,12a-10pm,12am-9pm
105,2819,MENLO PARK MALL,55 Parsonage Road,Edison,NJ,08837-2480,(732)548-1056,11pm-12am,CLOSED,12am-12am,12am-10pm
106,2820,WILLOW GROVE PARK,2500 Moreland Road,Willow Grove,PA,19090-4012,(215)657-4283,CLOSED,CLOSED,12am-10pm,12am-12am
107,2821,LOGAN VALLEY MALL,5580 Goods Lane,Altoona,PA,16602-2830,(814)942-5239,CLOSED,CLOSED,12am-10pm,12am-10pm
108,2822,CONNECTICUT POST,1201 Boston Post Road,Milford,CT,06460-2703,(203)301-0643,CLOSED,CLOSED,12am-9pm,12am-10pm
109,2823,WYOMING VALLEY MALL,21 Wyoming Valley Mall,Wilkes Barre,PA,18702-6809,(570)822-3327,CLOSED,CLOSED,12am-9pm,12am-9pm
110,2824,VIEWMONT MALL,100 Viewmont Mall,Scranton,PA,18508-1306,(570)344-2206,CLOSED,CLOSED,12am-10pm,12am-9pm
111,2825,MERIDEN SQUARE,470 Lewis Avenue,Meriden,CT,06451-2103,(203)235-0468,CLOSED,CLOSED,12am-11pm,12am-10pm
112,2826,NITTANY MALL,2901 East College Ave,State College,PA,16801-7517,(814)231-5291,CLOSED,CLOSED,12am-10pm,12am-10pm
113,2827,PALISADES CENTER,2552 Palisades Center Dr,West Nyack,NY,10994-6407,(845)358-3827,CLOSED,CLOSED,12am-10pm,12am-9:30pm
114,2830,THE PARKS AT ARLINGTON,3811 S. Cooper,Arlington,TX,76015-4160,(817)472-5684,CLOSED,11pm-12am,12am-10pm,12am-10pm
115,2831,LAKESIDE MALL,14600 Lakeside Circle,Sterling Heights,MI,48313-6004,(586)566-1673,CLOSED,CLOSED,12am-9pm,12am-10pm
116,2832,APACHE MALL,#660 Apache Mall,Rochester,MN,55902-2109,(507)281-1319,#N/A,CLOSED,#N/A,12am-9pm
117,2833,HULEN MALL,4800 S. Hulen St.,Fort Worth,TX,76132-1419,(817)294-4280,CLOSED,11pm-12am,6am-10pm,12am-10pm
118,2834,MAYFAIR MALL,2500 N. Mayfair Road,Wauwatosa,WI,53226-1428,(414)443-0041,CLOSED,CLOSED,12am-9pm,12am-9pm
119,2835,CORAL RIDGE MALL,1451 Coral Ridge Ave,Coralville,IA,52241-2802,(319)354-0015,CLOSED,CLOSED,12am-10pm,12am-9pm
120,2837,SOUTHPARK CENTER,404 South Park Center,Strongsville,OH,44136-9316,(440)238-3713,CLOSED,CLOSED,12am-9pm,12am-10pm
